sample_id	chrom	start	end	cn_a	cn_b
G_RLX001_SU_T1-R1	chr3	19575554	27352649	1	2
G_RLX001_SU_T1-R1	chr3	27352650	28566101	1	0
G_RLX001_SU_T1-R1	chr3	28566102	29781186	1	2
G_RLX001_SU_T1-R1	chr3	29781187	33906674	1	1
G_RLX001_SU_T1-R1	chr3	33906675	43390016	1	2
G_RLX001_SU_T1-R1	chr3	43390017	69028997	1	0
G_RLX001_SU_T1-R1	chr3	69028998	90276604	1	2
G_RLX001_SU_T1-R1	chr3	93593119	143708626	1	2
G_RLX001_SU_T1-R1	chr3	145782443	186793647	1	2
G_RLX001_SU_T1-R1	chr3	186793648	194118697	1	2
G_RLX001_SU_T1-R1	chr3	194118698	195778971	0	2
G_RLX001_SU_T1-R1	chr3	195778972	197765456	0	1
G_RLX001_SU_T1-R1	chr4	60157	3589623	1	0
G_RLX001_SU_T1-R1	chr4	3589624	3769499	1	0
G_RLX001_SU_T1-R1	chr4	3769500	38800403	1	0
G_RLX001_SU_T1-R1	chr4	38800404	40440365	0	0
G_RLX001_SU_T1-R1	chr4	40440366	41496601	0	0
G_RLX001_SU_T1-R1	chr4	41496602	87556557	1	0
G_RLX001_SU_T1-R1	chr4	87556558	99264375	1	0
G_RLX001_SU_T1-R1	chr4	99264376	183609401	1	0
G_RLX001_SU_T1-R1	chr4	183609402	190883051	1	0
G_RLX001_SU_T1-R1	chr5	143197	13919279	3	0
G_RLX001_SU_T1-R1	chr5	13919280	16572137	3	0
G_RLX001_SU_T1-R1	chr5	16572138	68467110	3	0
G_RLX001_SU_T1-R1	chr5	68467111	71015213	3	0
G_RLX001_SU_T1-R1	chr5	71015214	145483928	3	0
G_RLX001_SU_T1-R1	chr5	145483929	145641007	3	0
G_RLX001_SU_T1-R1	chr5	145641008	153789077	3	0
G_RLX001_SU_T1-R1	chr5	153789078	180687830	3	0
G_RLX001_SU_T1-R1	chr6	203397	16146902	1	1
G_RLX001_SU_T1-R1	chr6	16146903	17292172	0	1
G_RLX001_SU_T1-R1	chr6	17292173	24601359	1	1
G_RLX001_SU_T1-R1	chr6	24601360	26373149	1	1
G_RLX001_SU_T1-R1	chr6	26373150	31466523	1	1
G_RLX001_SU_T1-R1	chr6	31466524	32803650	1	1
G_RLX001_SU_T1-R1	chr6	32803651	39846858	1	1
G_RLX001_SU_T1-R1	chr6	39846859	47647994	1	1
G_RLX001_SU_T1-R1	chr6	47647995	73935145	1	1
G_RLX001_SU_T1-R1	chr6	73935146	73951334	1	1
G_RLX001_SU_T1-R1	chr6	73951335	74124430	0	0
G_RLX001_SU_T1-R1	chr6	74124431	74407182	0	0
G_RLX001_SU_T1-R1	chr6	74407183	75794986	1	1
G_RLX001_SU_T1-R1	chr6	75794987	148854066	1	1
G_RLX001_SU_T1-R1	chr6	148854067	150205571	1	0
G_RLX001_SU_T1-R1	chr6	150205572	160450459	1	1
G_RLX001_SU_T1-R1	chr6	160450460	170893697	1	1
G_RLX001_SU_T1-R1	chr7	193245	5262326	1	3
G_RLX001_SU_T1-R1	chr7	5262327	6777368	1	0
G_RLX001_SU_T1-R1	chr7	6777369	39504327	1	2
G_RLX001_SU_T1-R1	chr7	39504328	55755533	1	2
G_RLX001_SU_T1-R1	chr7	55755534	57529604	0	1
G_RLX001_SU_T1-R1	chr7	62910177	88424167	1	1
G_RLX001_SU_T1-R1	chr7	88424168	99696822	2	1
G_RLX001_SU_T1-R1	chr7	99696823	103191738	0	1
G_RLX001_SU_T1-R1	chr7	103191739	106685426	2	1
G_RLX001_SU_T1-R1	chr7	106685427	142013384	2	1
G_RLX001_SU_T1-R1	chr7	142013385	142750008	2	0
G_RLX001_SU_T1-R1	chr7	142750009	148701012	2	1
G_RLX001_SU_T1-R1	chr7	148701013	148716320	0	1
G_RLX001_SU_T1-R1	chr7	148716321	148725043	0	1
G_RLX001_SU_T1-R1	chr7	148725044	148876875	0	1
G_RLX001_SU_T1-R1	chr7	148876876	148951025	0	1
G_RLX001_SU_T1-R1	chr7	148951026	148978644	0	1
G_RLX001_SU_T1-R1	chr7	148978645	159025874	2	1
G_RLX001_SU_T1-R1	chr8	182785	24813030	1	2
G_RLX001_SU_T1-R1	chr8	24813031	24813362	1	2
G_RLX001_SU_T1-R1	chr8	24813363	25101290	1	2
G_RLX001_SU_T1-R1	chr8	25101291	25132977	1	2
G_RLX001_SU_T1-R1	chr8	25132978	25702041	1	2
G_RLX001_SU_T1-R1	chr8	25702042	33246538	1	2
G_RLX001_SU_T1-R1	chr8	33246539	33454759	1	0
G_RLX001_SU_T1-R1	chr8	33454760	43212084	1	2
G_RLX001_SU_T1-R1	chr8	47752730	104240224	1	2
G_RLX001_SU_T1-R1	chr8	104240225	124449430	1	2
G_RLX001_SU_T1-R1	chr8	124449431	128099347	1	2
G_RLX001_SU_T1-R1	chr8	128099348	131797567	1	2
G_RLX001_SU_T1-R1	chr8	131797568	141294038	1	2
G_RLX001_SU_T1-R1	chr8	141294039	146279571	1	2
G_RLX001_SU_T1-R1	chr9	154795	38621995	2	1
G_RLX001_SU_T1-R1	chr9	43818062	43818062	2	1
G_RLX001_SU_T1-R1	chr9	68433620	130162343	2	1
G_RLX001_SU_T1-R1	chr9	130162344	133978207	1	1
G_RLX001_SU_T1-R1	chr9	133978208	141071646	2	1
G_RLX001_SU_T1-R1	chr10	95096	27342409	1	0
G_RLX001_SU_T1-R1	chr10	27342410	27538741	1	0
G_RLX001_SU_T1-R1	chr10	27538742	44141481	1	0
G_RLX001_SU_T1-R1	chr10	44141482	64578307	1	0
G_RLX001_SU_T1-R1	chr10	64578308	69407254	1	0
G_RLX001_SU_T1-R1	chr10	69407255	71007178	1	0
G_RLX001_SU_T1-R1	chr10	71007179	105199955	1	0
G_RLX001_SU_T1-R1	chr10	105199956	129899543	1	0
G_RLX001_SU_T1-R1	chr10	129899544	135439138	1	0
G_RLX001_SU_T1-R1	chr11	197278	1018486	0	1
G_RLX001_SU_T1-R1	chr11	1018487	1272709	0	1
G_RLX001_SU_T1-R1	chr11	1272710	1275911	1	1
G_RLX001_SU_T1-R1	chr11	1275912	1279353	1	1
G_RLX001_SU_T1-R1	chr11	1279354	2992747	1	2
G_RLX001_SU_T1-R1	chr11	2992748	3845449	1	1
G_RLX001_SU_T1-R1	chr11	3845450	32413476	1	1
G_RLX001_SU_T1-R1	chr11	32413477	45949105	1	1
G_RLX001_SU_T1-R1	chr11	45949106	48285520	1	0
G_RLX001_SU_T1-R1	chr11	48285521	48346946	1	0
G_RLX001_SU_T1-R1	chr11	48346947	48366895	1	0
G_RLX001_SU_T1-R1	chr11	48366896	48366970	1	0
G_RLX001_SU_T1-R1	chr11	48366971	48453705	1	0
G_RLX001_SU_T1-R1	chr11	48453706	48453794	1	1
G_RLX001_SU_T1-R1	chr11	48453795	48510982	1	1
G_RLX001_SU_T1-R1	chr11	48510983	55564003	1	0
G_RLX001_SU_T1-R1	chr11	55564004	101849189	1	1
G_RLX001_SU_T1-R1	chr11	101849190	116619177	1	1
G_RLX001_SU_T1-R1	chr11	116619178	134856707	1	1
G_RLX001_SU_T1-R1	chr12	208351	34182570	2	1
G_RLX001_SU_T1-R1	chr12	38710758	50529877	2	1
G_RLX001_SU_T1-R1	chr12	50529878	51844553	1	1
G_RLX001_SU_T1-R1	chr12	51844554	53186908	2	3
G_RLX001_SU_T1-R1	chr12	53186909	53207627	2	2
G_RLX001_SU_T1-R1	chr12	53207628	53294475	1	1
G_RLX001_SU_T1-R1	chr12	53294476	62786820	1	1
G_RLX001_SU_T1-R1	chr12	62786821	121454314	1	2
G_RLX001_SU_T1-R1	chr12	121454315	124221733	1	0
G_RLX001_SU_T1-R1	chr12	124221734	133810949	1	2
G_RLX001_SU_T1-R1	chr13	19600440	20425947	0	1
G_RLX001_SU_T1-R1	chr13	20425948	21952719	1	1
G_RLX001_SU_T1-R1	chr13	21952720	23808696	1	1
G_RLX001_SU_T1-R1	chr13	23808697	28608331	1	1
G_RLX001_SU_T1-R1	chr13	28608332	28647621	1	0
G_RLX001_SU_T1-R1	chr13	28647622	115091783	1	1
G_RLX001_SU_T1-R1	chr14	20228483	34985684	1	0
G_RLX001_SU_T1-R1	chr14	34985685	51221560	1	0
G_RLX001_SU_T1-R1	chr14	51221561	94083726	1	0
G_RLX001_SU_T1-R1	chr14	94083727	105404404	1	0
G_RLX001_SU_T1-R1	chr14	105404405	107283126	1	0
G_RLX001_SU_T1-R1	chr15	20169972	102389791	1	1
G_RLX001_SU_T1-R1	chr16	97409	22262526	1	1
G_RLX001_SU_T1-R1	chr16	22262527	31193942	2	1
G_RLX001_SU_T1-R1	chr16	31193943	34682405	2	1
G_RLX001_SU_T1-R1	chr16	46508175	68155885	2	1
G_RLX001_SU_T1-R1	chr16	68155886	90161262	2	2
G_RLX001_SU_T1-R1	chr17	5953	57352591	1	0
G_RLX001_SU_T1-R1	chr17	57352592	59161985	1	1
G_RLX001_SU_T1-R1	chr17	59161986	61565997	1	1
G_RLX001_SU_T1-R1	chr17	61565998	66251936	1	1
G_RLX001_SU_T1-R1	chr17	66251937	81083520	1	1
G_RLX001_SU_T1-R1	chr18	158494	24126874	2	1
G_RLX001_SU_T1-R1	chr18	24126875	77960841	2	1
G_RLX001_SU_T1-R1	chr19	281376	7755056	0	1
G_RLX001_SU_T1-R1	chr19	7755057	8152790	0	1
G_RLX001_SU_T1-R1	chr19	8152791	8321634	0	1
G_RLX001_SU_T1-R1	chr19	8321635	8386777	0	1
G_RLX001_SU_T1-R1	chr19	8386778	8389838	0	1
G_RLX001_SU_T1-R1	chr19	8389839	9325278	0	2
G_RLX001_SU_T1-R1	chr19	9325279	9346007	0	1
G_RLX001_SU_T1-R1	chr19	9346008	9346761	0	1
G_RLX001_SU_T1-R1	chr19	9346762	24345141	1	1
G_RLX001_SU_T1-R1	chr19	29567134	38983214	1	0
G_RLX001_SU_T1-R1	chr19	38983215	42027500	1	0
G_RLX001_SU_T1-R1	chr19	42027501	45016113	1	1
G_RLX001_SU_T1-R1	chr19	45016114	51301427	1	0
G_RLX001_SU_T1-R1	chr19	51301428	51983738	1	1
G_RLX001_SU_T1-R1	chr19	51983739	52084879	2	2
G_RLX001_SU_T1-R1	chr19	52084880	52129242	1	1
G_RLX001_SU_T1-R1	chr19	52129243	54705182	1	1
G_RLX001_SU_T1-R1	chr19	54705183	54710153	1	1
G_RLX001_SU_T1-R1	chr19	54710154	55349264	2	1
G_RLX001_SU_T1-R1	chr19	55349265	55377923	1	1
G_RLX001_SU_T1-R1	chr19	55377924	59083902	1	1
G_RLX001_SU_T1-R1	chr20	68264	5753864	2	2
G_RLX001_SU_T1-R1	chr20	5753865	26061948	2	2
G_RLX001_SU_T1-R1	chr20	26061949	29634048	0	0
G_RLX001_SU_T1-R1	chr20	29634049	55111370	2	2
G_RLX001_SU_T1-R1	chr20	55111371	62959285	2	2
G_RLX001_SU_T1-R1	chr21	10863087	20058321	1	1
G_RLX001_SU_T1-R1	chr21	22370904	27348173	1	1
G_RLX001_SU_T1-R1	chr21	27348174	41137722	1	1
G_RLX001_SU_T1-R1	chr21	41137723	43171304	1	1
G_RLX001_SU_T1-R1	chr21	43171305	48084340	1	1
G_RLX001_SU_T1-R1	chr22	17052949	51219216	1	1
G_RLX001_SU_T1-R10	chr1	762496	3395001	1	1
G_RLX001_SU_T1-R10	chr1	3395002	29638032	1	0
G_RLX001_SU_T1-R10	chr1	29638033	62160520	1	1
G_RLX001_SU_T1-R10	chr1	62160521	62713223	1	1
G_RLX001_SU_T1-R10	chr1	62713224	109836835	1	1
G_RLX001_SU_T1-R10	chr1	109836836	121310061	1	1
G_RLX001_SU_T1-R10	chr1	144854581	145282070	1	1
G_RLX001_SU_T1-R10	chr1	145282071	151542140	1	1
G_RLX001_SU_T1-R10	chr1	151542141	153512528	1	1
G_RLX001_SU_T1-R10	chr1	153512529	158151482	1	1
G_RLX001_SU_T1-R10	chr1	158151483	158908933	2	1
G_RLX001_SU_T1-R10	chr1	158908934	196801042	2	1
G_RLX001_SU_T1-R10	chr1	196801043	234452492	2	1
G_RLX001_SU_T1-R10	chr1	234452493	249212481	2	1
G_RLX001_SU_T1-R10	chr2	41509	24042726	1	1
G_RLX001_SU_T1-R10	chr2	24042727	90193204	1	1
G_RLX001_SU_T1-R10	chr2	90193205	95947042	1	1
G_RLX001_SU_T1-R10	chr2	95947043	96525652	2	0
G_RLX001_SU_T1-R10	chr2	96525653	96525722	1	1
G_RLX001_SU_T1-R10	chr2	96525723	96541694	1	1
G_RLX001_SU_T1-R10	chr2	96541695	96610923	1	1
G_RLX001_SU_T1-R10	chr2	96610924	96616531	1	1
G_RLX001_SU_T1-R10	chr2	96616532	96652739	1	1
G_RLX001_SU_T1-R10	chr2	96652740	135738284	1	1
G_RLX001_SU_T1-R10	chr2	135738285	178129399	1	0
G_RLX001_SU_T1-R10	chr2	178129400	182399082	2	1
G_RLX001_SU_T1-R10	chr2	182399083	201507508	1	1
G_RLX001_SU_T1-R10	chr2	201507509	233898992	1	1
G_RLX001_SU_T1-R10	chr2	233898993	234354247	1	1
G_RLX001_SU_T1-R10	chr2	234354248	234602201	1	1
G_RLX001_SU_T1-R10	chr2	234602202	242344425	1	1
G_RLX001_SU_T1-R10	chr2	242344426	242439584	1	1
G_RLX001_SU_T1-R10	chr2	242439585	242572828	1	1
G_RLX001_SU_T1-R10	chr2	242572829	242946562	1	1
G_RLX001_SU_T1-R10	chr3	239347	2613083	1	1
G_RLX001_SU_T1-R10	chr3	2613084	11059438	1	0
G_RLX001_SU_T1-R10	chr3	11059439	19575553	1	1
G_RLX001_SU_T1-R10	chr3	19575554	27352649	1	1
G_RLX001_SU_T1-R10	chr3	27352650	28566101	1	0
G_RLX001_SU_T1-R10	chr3	28566102	29781186	1	1
G_RLX001_SU_T1-R10	chr3	29781187	33906674	1	1
G_RLX001_SU_T1-R10	chr3	33906675	43390016	1	1
G_RLX001_SU_T1-R10	chr3	43390017	69028997	1	0
G_RLX001_SU_T1-R10	chr3	69028998	90276604	1	1
G_RLX001_SU_T1-R10	chr3	93593119	143708626	1	1
G_RLX001_SU_T1-R10	chr3	145782443	186793647	1	1
G_RLX001_SU_T1-R10	chr3	186793648	194118697	1	1
G_RLX001_SU_T1-R10	chr3	194118698	195778971	1	0
G_RLX001_SU_T1-R10	chr3	195778972	197765456	1	1
G_RLX001_SU_T1-R10	chr4	60157	3589623	1	1
G_RLX001_SU_T1-R10	chr4	3589624	3769499	1	1
G_RLX001_SU_T1-R10	chr4	3769500	38800403	1	1
G_RLX001_SU_T1-R10	chr4	38800404	40440365	1	1
G_RLX001_SU_T1-R10	chr4	40440366	41496601	1	1
G_RLX001_SU_T1-R10	chr4	41496602	87556557	1	1
G_RLX001_SU_T1-R10	chr4	87556558	99264375	2	1
G_RLX001_SU_T1-R10	chr4	99264376	183609401	1	1
G_RLX001_SU_T1-R10	chr4	183609402	190883051	1	1
G_RLX001_SU_T1-R10	chr5	143197	13919279	1	1
G_RLX001_SU_T1-R10	chr5	13919280	16572137	1	1
G_RLX001_SU_T1-R10	chr5	16572138	68467110	1	1
G_RLX001_SU_T1-R10	chr5	68467111	71015213	1	1
G_RLX001_SU_T1-R10	chr5	71015214	145483928	1	1
G_RLX001_SU_T1-R10	chr5	145483929	145641007	1	1
G_RLX001_SU_T1-R10	chr5	145641008	153789077	1	1
G_RLX001_SU_T1-R10	chr5	153789078	180687830	1	1
G_RLX001_SU_T1-R10	chr6	203397	16146902	1	1
G_RLX001_SU_T1-R10	chr6	16146903	17292172	1	1
G_RLX001_SU_T1-R10	chr6	17292173	24601359	1	1
G_RLX001_SU_T1-R10	chr6	24601360	26373149	1	1
G_RLX001_SU_T1-R10	chr6	26373150	31466523	1	0
G_RLX001_SU_T1-R10	chr6	31466524	32803650	1	1
G_RLX001_SU_T1-R10	chr6	32803651	39846858	1	1
G_RLX001_SU_T1-R10	chr6	39846859	47647994	1	1
G_RLX001_SU_T1-R10	chr6	47647995	73935145	1	1
G_RLX001_SU_T1-R10	chr6	73935146	73951334	1	0
G_RLX001_SU_T1-R10	chr6	73951335	74124430	1	1
G_RLX001_SU_T1-R10	chr6	74124431	74407182	0	0
G_RLX001_SU_T1-R10	chr6	74407183	75794986	1	0
G_RLX001_SU_T1-R10	chr6	75794987	148854066	1	1
G_RLX001_SU_T1-R10	chr6	148854067	150205571	1	1
G_RLX001_SU_T1-R10	chr6	150205572	160450459	1	1
G_RLX001_SU_T1-R10	chr6	160450460	170893697	1	1
G_RLX001_SU_T1-R10	chr7	193245	5262326	1	4
G_RLX001_SU_T1-R10	chr7	5262327	6777368	1	3
G_RLX001_SU_T1-R10	chr7	6777369	39504327	1	3
G_RLX001_SU_T1-R10	chr7	39504328	55755533	1	3
G_RLX001_SU_T1-R10	chr7	55755534	57529604	0	2
G_RLX001_SU_T1-R10	chr7	62910177	88424167	1	3
G_RLX001_SU_T1-R10	chr7	88424168	99696822	1	3
G_RLX001_SU_T1-R10	chr7	99696823	103191738	1	3
G_RLX001_SU_T1-R10	chr7	103191739	106685426	1	3
G_RLX001_SU_T1-R10	chr7	106685427	142013384	1	2
G_RLX001_SU_T1-R10	chr7	142013385	142750008	1	2
G_RLX001_SU_T1-R10	chr7	142750009	148701012	1	2
G_RLX001_SU_T1-R10	chr7	148701013	148716320	1	2
G_RLX001_SU_T1-R10	chr7	148716321	148725043	1	2
G_RLX001_SU_T1-R10	chr7	148725044	148876875	1	1
G_RLX001_SU_T1-R10	chr7	148876876	148951025	1	2
G_RLX001_SU_T1-R10	chr7	148951026	148978644	1	2
G_RLX001_SU_T1-R10	chr7	148978645	159025874	1	2
G_RLX001_SU_T1-R10	chr8	182785	24813030	0	1
G_RLX001_SU_T1-R10	chr8	24813031	24813362	0	1
G_RLX001_SU_T1-R10	chr8	24813363	25101290	0	0
G_RLX001_SU_T1-R10	chr8	25101291	25132977	0	0
G_RLX001_SU_T1-R10	chr8	25132978	25702041	0	0
G_RLX001_SU_T1-R10	chr8	25702042	33246538	1	0
G_RLX001_SU_T1-R10	chr8	33246539	33454759	1	0
G_RLX001_SU_T1-R10	chr8	33454760	43212084	1	0
G_RLX001_SU_T1-R10	chr8	47752730	104240224	1	1
G_RLX001_SU_T1-R10	chr8	104240225	124449430	1	1
G_RLX001_SU_T1-R10	chr8	124449431	128099347	2	1
G_RLX001_SU_T1-R10	chr8	128099348	131797567	1	1
G_RLX001_SU_T1-R10	chr8	131797568	141294038	1	1
G_RLX001_SU_T1-R10	chr8	141294039	146279571	2	1
G_RLX001_SU_T1-R10	chr9	154795	38621995	2	0
G_RLX001_SU_T1-R10	chr9	43818062	43818062	2	0
G_RLX001_SU_T1-R10	chr9	68433620	130162343	2	0
G_RLX001_SU_T1-R10	chr9	130162344	133978207	2	0
G_RLX001_SU_T1-R10	chr9	133978208	141071646	2	0
G_RLX001_SU_T1-R10	chr10	95096	27342409	1	1
G_RLX001_SU_T1-R10	chr10	27342410	27538741	1	1
G_RLX001_SU_T1-R10	chr10	27538742	44141481	1	1
G_RLX001_SU_T1-R10	chr10	44141482	64578307	1	1
G_RLX001_SU_T1-R10	chr10	64578308	69407254	0	1
G_RLX001_SU_T1-R10	chr10	69407255	71007178	1	1
G_RLX001_SU_T1-R10	chr10	71007179	105199955	1	1
G_RLX001_SU_T1-R10	chr10	105199956	129899543	1	1
G_RLX001_SU_T1-R10	chr10	129899544	135439138	1	1
G_RLX001_SU_T1-R10	chr11	197278	1018486	1	1
G_RLX001_SU_T1-R10	chr11	1018487	1272709	1	1
G_RLX001_SU_T1-R10	chr11	1272710	1275911	2	2
G_RLX001_SU_T1-R10	chr11	1275912	1279353	2	2
G_RLX001_SU_T1-R10	chr11	1279354	2992747	2	1
G_RLX001_SU_T1-R10	chr11	2992748	3845449	1	1
G_RLX001_SU_T1-R10	chr11	3845450	32413476	1	1
G_RLX001_SU_T1-R10	chr11	32413477	45949105	1	1
G_RLX001_SU_T1-R10	chr11	45949106	48285520	1	1
G_RLX001_SU_T1-R10	chr11	48285521	48346946	1	1
G_RLX001_SU_T1-R10	chr11	48346947	48366895	1	1
G_RLX001_SU_T1-R10	chr11	48366896	48366970	1	1
G_RLX001_SU_T1-R10	chr11	48366971	48453705	1	1
G_RLX001_SU_T1-R10	chr11	48453706	48453794	1	1
G_RLX001_SU_T1-R10	chr11	48453795	48510982	1	1
G_RLX001_SU_T1-R10	chr11	48510983	55564003	1	1
G_RLX001_SU_T1-R10	chr11	55564004	101849189	1	1
G_RLX001_SU_T1-R10	chr11	101849190	116619177	1	0
G_RLX001_SU_T1-R10	chr11	116619178	134856707	1	1
G_RLX001_SU_T1-R10	chr12	208351	34182570	1	1
G_RLX001_SU_T1-R10	chr12	38710758	50529877	2	1
G_RLX001_SU_T1-R10	chr12	50529878	51844553	2	1
G_RLX001_SU_T1-R10	chr12	51844554	53186908	3	1
G_RLX001_SU_T1-R10	chr12	53186909	53207627	3	1
G_RLX001_SU_T1-R10	chr12	53207628	53294475	3	1
G_RLX001_SU_T1-R10	chr12	53294476	62786820	2	1
G_RLX001_SU_T1-R10	chr12	62786821	121454314	2	1
G_RLX001_SU_T1-R10	chr12	121454315	124221733	1	1
G_RLX001_SU_T1-R10	chr12	124221734	133810949	2	1
G_RLX001_SU_T1-R10	chr13	19600440	20425947	1	0
G_RLX001_SU_T1-R10	chr13	20425948	21952719	1	0
G_RLX001_SU_T1-R10	chr13	21952720	23808696	1	0
G_RLX001_SU_T1-R10	chr13	23808697	28608331	1	0
G_RLX001_SU_T1-R10	chr13	28608332	28647621	1	0
G_RLX001_SU_T1-R10	chr13	28647622	115091783	1	0
G_RLX001_SU_T1-R10	chr14	20228483	34985684	0	1
G_RLX001_SU_T1-R10	chr14	34985685	51221560	0	1
G_RLX001_SU_T1-R10	chr14	51221561	94083726	0	1
G_RLX001_SU_T1-R10	chr14	94083727	105404404	0	1
G_RLX001_SU_T1-R10	chr14	105404405	107283126	0	1
G_RLX001_SU_T1-R10	chr15	20169972	102389791	1	1
G_RLX001_SU_T1-R10	chr16	97409	22262526	1	1
G_RLX001_SU_T1-R10	chr16	22262527	31193942	1	1
G_RLX001_SU_T1-R10	chr16	31193943	34682405	1	0
G_RLX001_SU_T1-R10	chr16	46508175	68155885	1	1
G_RLX001_SU_T1-R10	chr16	68155886	90161262	1	1
G_RLX001_SU_T1-R10	chr17	5953	57352591	1	1
G_RLX001_SU_T1-R10	chr17	57352592	59161985	2	1
G_RLX001_SU_T1-R10	chr17	59161986	61565997	2	1
G_RLX001_SU_T1-R10	chr17	61565998	66251936	2	1
G_RLX001_SU_T1-R10	chr17	66251937	81083520	2	1
G_RLX001_SU_T1-R10	chr18	158494	24126874	1	0
G_RLX001_SU_T1-R10	chr18	24126875	77960841	1	0
G_RLX001_SU_T1-R10	chr19	281376	7755056	1	1
G_RLX001_SU_T1-R10	chr19	7755057	8152790	0	1
G_RLX001_SU_T1-R10	chr19	8152791	8321634	1	1
G_RLX001_SU_T1-R10	chr19	8321635	8386777	1	0
G_RLX001_SU_T1-R10	chr19	8386778	8389838	1	0
G_RLX001_SU_T1-R10	chr19	8389839	9325278	1	0
G_RLX001_SU_T1-R10	chr19	9325279	9346007	1	0
G_RLX001_SU_T1-R10	chr19	9346008	9346761	1	0
G_RLX001_SU_T1-R10	chr19	9346762	24345141	1	0
G_RLX001_SU_T1-R10	chr19	29567134	38983214	1	1
G_RLX001_SU_T1-R10	chr19	38983215	42027500	1	1
G_RLX001_SU_T1-R10	chr19	42027501	45016113	1	1
G_RLX001_SU_T1-R10	chr19	45016114	51301427	1	1
G_RLX001_SU_T1-R10	chr19	51301428	51983738	1	1
G_RLX001_SU_T1-R10	chr19	51983739	52084879	2	2
G_RLX001_SU_T1-R10	chr19	52084880	52129242	1	1
G_RLX001_SU_T1-R10	chr19	52129243	54705182	1	1
G_RLX001_SU_T1-R10	chr19	54705183	54710153	1	0
G_RLX001_SU_T1-R10	chr19	54710154	55349264	2	1
G_RLX001_SU_T1-R10	chr19	55349265	55377923	1	1
G_RLX001_SU_T1-R10	chr19	55377924	59083902	1	1
G_RLX001_SU_T1-R10	chr20	68264	5753864	1	0
G_RLX001_SU_T1-R10	chr20	5753865	26061948	1	1
G_RLX001_SU_T1-R10	chr20	26061949	29634048	1	0
G_RLX001_SU_T1-R10	chr20	29634049	55111370	1	1
G_RLX001_SU_T1-R10	chr20	55111371	62959285	1	1
G_RLX001_SU_T1-R10	chr21	10863087	20058321	1	1
G_RLX001_SU_T1-R10	chr21	22370904	27348173	2	1
G_RLX001_SU_T1-R10	chr21	27348174	41137722	2	1
G_RLX001_SU_T1-R10	chr21	41137723	43171304	2	1
G_RLX001_SU_T1-R10	chr21	43171305	48084340	2	1
G_RLX001_SU_T1-R10	chr22	17052949	51219216	1	1
G_RLX001_SU_T1-R2	chr1	762496	3395001	1	1
G_RLX001_SU_T1-R2	chr1	3395002	29638032	1	0
G_RLX001_SU_T1-R2	chr1	29638033	62160520	1	1
G_RLX001_SU_T1-R2	chr1	62160521	62713223	0	0
G_RLX001_SU_T1-R2	chr1	62713224	109836835	1	1
G_RLX001_SU_T1-R2	chr1	109836836	121310061	1	1
G_RLX001_SU_T1-R2	chr1	144854581	145282070	1	0
G_RLX001_SU_T1-R2	chr1	145282071	151542140	1	0
G_RLX001_SU_T1-R2	chr1	151542141	153512528	1	1
