	WGD	Rate	Number of Leaves	n	Method	filename	rf	grf	quartet	Unnamed: 0
40	highwgd	0.025	3	10	sitka	data_highwgd_0.025_3_10	2.0	1.0	1.0	
41	highwgd	0.025	3	11	sitka	data_highwgd_0.025_3_11	0.0	0.0	0.0	
42	highwgd	0.025	3	12	sitka	data_highwgd_0.025_3_12	0.0	0.0	0.0	
43	highwgd	0.025	3	13	sitka	data_highwgd_0.025_3_13	0.0	0.0	0.0	
44	highwgd	0.025	3	14	sitka	data_highwgd_0.025_3_14	0.0	0.0	0.0	
45	highwgd	0.025	3	15	sitka	data_highwgd_0.025_3_15	0.0	0.0	0.0	
46	highwgd	0.025	3	16	sitka	data_highwgd_0.025_3_16	0.0	0.0	0.0	
47	highwgd	0.025	3	17	sitka	data_highwgd_0.025_3_17	0.0	0.0	0.0	
48	highwgd	0.025	3	18	sitka	data_highwgd_0.025_3_18	1.0	1.0	0.5	
49	highwgd	0.025	3	19	sitka	data_highwgd_0.025_3_19	0.0	0.0	0.0	
50	highwgd	0.025	3	2	sitka	data_highwgd_0.025_3_2	0.0	0.0	0.0	
51	highwgd	0.025	3	20	sitka	data_highwgd_0.025_3_20	0.0	0.0	0.0	
52	highwgd	0.025	3	21	sitka	data_highwgd_0.025_3_21	0.0	0.0	0.0	
53	highwgd	0.025	3	22	sitka	data_highwgd_0.025_3_22	0.0	0.0	0.0	
54	highwgd	0.025	3	23	sitka	data_highwgd_0.025_3_23	0.0	0.0	0.0	
55	highwgd	0.025	3	24	sitka	data_highwgd_0.025_3_24	0.0	0.0	0.0	
56	highwgd	0.025	3	3	sitka	data_highwgd_0.025_3_3	0.0	0.0	0.0	
57	highwgd	0.025	3	4	sitka	data_highwgd_0.025_3_4	0.0	0.0	0.0	
58	highwgd	0.025	3	5	sitka	data_highwgd_0.025_3_5	0.0	0.0	0.0	
59	highwgd	0.025	3	6	sitka	data_highwgd_0.025_3_6	0.0	0.0	0.0	
60	highwgd	0.025	3	7	sitka	data_highwgd_0.025_3_7	0.0	0.0	0.0	
61	highwgd	0.025	3	8	sitka	data_highwgd_0.025_3_8	0.0	0.0	0.0	
62	highwgd	0.025	3	9	sitka	data_highwgd_0.025_3_9	0.0	0.0	0.0	
63	highwgd	0.025	500	3	sitka	data_highwgd_0.025_500_3	545.0	0.9112899	0.0	
64	highwgd	0.025	50	3	sitka	data_highwgd_0.025_50_3	52.0	0.459385	0.194904	
65	highwgd	0.025	5	3	sitka	data_highwgd_0.025_5_3	1.0	0.2139869	0.1333333	
66	highwgd	0.05	100	3	sitka	data_highwgd_0.05_100_3	114.0	0.6866524	0.3839159	
67	highwgd	0.05	10	3	sitka	data_highwgd_0.05_10_3	2.0	0.09966279	0.04242424	
68	highwgd	0.05	15	3	sitka	data_highwgd_0.05_15_3	10.0	0.2768052	0.1074176	
69	highwgd	0.05	20	3	sitka	data_highwgd_0.05_20_3	20.0	0.4862369	0.3024227	
70	highwgd	0.05	250	3	sitka	data_highwgd_0.05_250_3	280.0	0.8582789	0.4810507	
71	highwgd	0.05	3	0	sitka	data_highwgd_0.05_3_0	0.0	0.0	0.0	
72	highwgd	0.05	3	1	sitka	data_highwgd_0.05_3_1	0.0	0.0	0.0	
73	highwgd	0.05	3	10	sitka	data_highwgd_0.05_3_10	0.0	0.0	0.0	
74	highwgd	0.05	3	11	sitka	data_highwgd_0.05_3_11	0.0	0.0	0.0	
75	highwgd	0.05	3	12	sitka	data_highwgd_0.05_3_12	0.0	0.0	0.0	
76	highwgd	0.05	3	13	sitka	data_highwgd_0.05_3_13	0.0	0.0	0.0	
77	highwgd	0.05	3	14	sitka	data_highwgd_0.05_3_14	0.0	0.0	0.0	
78	highwgd	0.05	3	15	sitka	data_highwgd_0.05_3_15	0.0	0.0	0.0	
79	highwgd	0.05	3	16	sitka	data_highwgd_0.05_3_16	0.0	0.0	0.0	
80	highwgd	0.05	3	17	sitka	data_highwgd_0.05_3_17	0.0	0.0	0.0	
81	highwgd	0.05	3	18	sitka	data_highwgd_0.05_3_18	0.0	0.0	0.0	
82	highwgd	0.05	3	19	sitka	data_highwgd_0.05_3_19	0.0	0.0	0.0	
83	highwgd	0.05	3	2	sitka	data_highwgd_0.05_3_2	0.0	0.0	0.0	
84	highwgd	0.05	3	20	sitka	data_highwgd_0.05_3_20	0.0	0.0	0.0	
85	highwgd	0.05	3	21	sitka	data_highwgd_0.05_3_21	0.0	0.0	0.0	
86	highwgd	0.05	3	22	sitka	data_highwgd_0.05_3_22	0.0	0.0	0.0	
87	highwgd	0.05	3	23	sitka	data_highwgd_0.05_3_23	0.0	0.0	0.0	
88	highwgd	0.05	3	24	sitka	data_highwgd_0.05_3_24	0.0	0.0	0.0	
89	highwgd	0.05	3	3	sitka	data_highwgd_0.05_3_3	0.0	0.0	0.0	
90	highwgd	0.05	3	4	sitka	data_highwgd_0.05_3_4	0.0	0.0	0.0	
91	highwgd	0.05	3	5	sitka	data_highwgd_0.05_3_5	2.0	1.0	1.0	
92	highwgd	0.05	3	6	sitka	data_highwgd_0.05_3_6	2.0	1.0	1.0	
93	highwgd	0.05	3	7	sitka	data_highwgd_0.05_3_7	2.0	1.0	1.0	
94	highwgd	0.05	3	8	sitka	data_highwgd_0.05_3_8	0.0	0.0	0.0	
95	highwgd	0.05	3	9	sitka	data_highwgd_0.05_3_9	0.0	0.0	0.0	
96	highwgd	0.05	500	3	sitka	data_highwgd_0.05_500_3	530.0	0.9397921	0.0	
97	highwgd	0.05	50	3	sitka	data_highwgd_0.05_50_3	56.0	0.466297	0.144954	
98	highwgd	0.05	5	3	sitka	data_highwgd_0.05_5_3	0.0	0.0	0.0	
99	highwgd	0.075	10	3	sitka	data_highwgd_0.075_10_3	2.0	0.11786383	0.05454545	
100	highwgd	0.075	15	3	sitka	data_highwgd_0.075_15_3	22.0	0.5234637	0.378022	
101	highwgd	0.075	20	3	sitka	data_highwgd_0.075_20_3	25.0	0.5960774	0.4288221	
102	highwgd	0.075	3	0	sitka	data_highwgd_0.075_3_0	0.0	0.0	0.0	
103	highwgd	0.075	3	1	sitka	data_highwgd_0.075_3_1	0.0	0.0	0.0	
104	highwgd	0.075	3	10	sitka	data_highwgd_0.075_3_10	0.0	0.0	0.0	
105	highwgd	0.075	3	11	sitka	data_highwgd_0.075_3_11	0.0	0.0	0.0	
106	highwgd	0.075	3	12	sitka	data_highwgd_0.075_3_12	0.0	0.0	0.0	
107	highwgd	0.075	3	13	sitka	data_highwgd_0.075_3_13	0.0	0.0	0.0	
108	highwgd	0.075	3	14	sitka	data_highwgd_0.075_3_14	0.0	0.0	0.0	
109	highwgd	0.075	3	15	sitka	data_highwgd_0.075_3_15	0.0	0.0	0.0	
110	highwgd	0.075	3	16	sitka	data_highwgd_0.075_3_16	0.0	0.0	0.0	
111	highwgd	0.075	3	17	sitka	data_highwgd_0.075_3_17	0.0	0.0	0.0	
112	highwgd	0.075	3	18	sitka	data_highwgd_0.075_3_18	0.0	0.0	0.0	
113	highwgd	0.075	3	19	sitka	data_highwgd_0.075_3_19	0.0	0.0	0.0	
114	highwgd	0.075	3	2	sitka	data_highwgd_0.075_3_2	0.0	0.0	0.0	
115	highwgd	0.075	3	20	sitka	data_highwgd_0.075_3_20	0.0	0.0	0.0	
116	highwgd	0.075	3	21	sitka	data_highwgd_0.075_3_21	0.0	0.0	0.0	
117	highwgd	0.075	3	22	sitka	data_highwgd_0.075_3_22	0.0	0.0	0.0	
118	highwgd	0.075	3	23	sitka	data_highwgd_0.075_3_23	0.0	0.0	0.0	
119	highwgd	0.075	3	24	sitka	data_highwgd_0.075_3_24	2.0	1.0	1.0	
120	highwgd	0.075	3	3	sitka	data_highwgd_0.075_3_3	0.0	0.0	0.0	
121	highwgd	0.075	3	4	sitka	data_highwgd_0.075_3_4	0.0	0.0	0.0	
122	highwgd	0.075	3	5	sitka	data_highwgd_0.075_3_5	0.0	0.0	0.0	
123	highwgd	0.075	3	6	sitka	data_highwgd_0.075_3_6	0.0	0.0	0.0	
124	highwgd	0.075	3	7	sitka	data_highwgd_0.075_3_7	0.0	0.0	0.0	
125	highwgd	0.075	3	8	sitka	data_highwgd_0.075_3_8	0.0	0.0	0.0	
126	highwgd	0.075	3	9	sitka	data_highwgd_0.075_3_9	0.0	0.0	0.0	
127	highwgd	0.075	5	3	sitka	data_highwgd_0.075_5_3	2.0	0.3081816	0.2	
128	highwgd	0.1	10	3	sitka	data_highwgd_0.1_10_3	3.0	0.1289178	0.1030303	
129	highwgd	0.1	15	3	sitka	data_highwgd_0.1_15_3	16.0	0.5493454	0.3024725	
130	highwgd	0.1	20	3	sitka	data_highwgd_0.1_20_3	21.0	0.5734914	0.3446951	
131	highwgd	0.1	3	0	sitka	data_highwgd_0.1_3_0	0.0	0.0	0.0	
132	highwgd	0.1	3	1	sitka	data_highwgd_0.1_3_1	0.0	0.0	0.0	
133	highwgd	0.1	3	10	sitka	data_highwgd_0.1_3_10	0.0	0.0	0.0	
134	highwgd	0.1	3	11	sitka	data_highwgd_0.1_3_11	0.0	0.0	0.0	
135	highwgd	0.1	3	12	sitka	data_highwgd_0.1_3_12	0.0	0.0	0.0	
136	highwgd	0.1	3	13	sitka	data_highwgd_0.1_3_13	0.0	0.0	0.0	
137	highwgd	0.1	3	14	sitka	data_highwgd_0.1_3_14	0.0	0.0	0.0	
138	highwgd	0.1	3	15	sitka	data_highwgd_0.1_3_15	0.0	0.0	0.0	
139	highwgd	0.1	3	16	sitka	data_highwgd_0.1_3_16	0.0	0.0	0.0	
140	highwgd	0.1	3	17	sitka	data_highwgd_0.1_3_17	0.0	0.0	0.0	
141	highwgd	0.1	3	18	sitka	data_highwgd_0.1_3_18	0.0	0.0	0.0	
142	highwgd	0.1	3	19	sitka	data_highwgd_0.1_3_19	0.0	0.0	0.0	
143	highwgd	0.1	3	2	sitka	data_highwgd_0.1_3_2	0.0	0.0	0.0	
144	highwgd	0.1	3	20	sitka	data_highwgd_0.1_3_20	0.0	0.0	0.0	
145	highwgd	0.1	3	21	sitka	data_highwgd_0.1_3_21	0.0	0.0	0.0	
146	highwgd	0.1	3	22	sitka	data_highwgd_0.1_3_22	0.0	0.0	0.0	
147	highwgd	0.1	3	23	sitka	data_highwgd_0.1_3_23	0.0	0.0	0.0	
148	highwgd	0.1	3	24	sitka	data_highwgd_0.1_3_24	0.0	0.0	0.0	
149	highwgd	0.1	3	3	sitka	data_highwgd_0.1_3_3	0.0	0.0	0.0	
150	highwgd	0.1	3	4	sitka	data_highwgd_0.1_3_4	0.0	0.0	0.0	
151	highwgd	0.1	3	5	sitka	data_highwgd_0.1_3_5	0.0	0.0	0.0	
152	highwgd	0.1	3	6	sitka	data_highwgd_0.1_3_6	0.0	0.0	0.0	
153	highwgd	0.1	3	7	sitka	data_highwgd_0.1_3_7	0.0	0.0	0.0	
154	highwgd	0.1	3	8	sitka	data_highwgd_0.1_3_8	0.0	0.0	0.0	
155	highwgd	0.1	3	9	sitka	data_highwgd_0.1_3_9	0.0	0.0	0.0	
156	highwgd	0.1	5	3	sitka	data_highwgd_0.1_5_3	4.0	0.4700477	0.4	
157	lowwgd	0.01	100	3	sitka	data_lowwgd_0.01_100_3	99.0	0.5135902	0.1712666	
158	lowwgd	0.01	10	3	sitka	data_lowwgd_0.01_10_3	4.0	0.2525947	0.1848485	
159	lowwgd	0.01	15	3	sitka	data_lowwgd_0.01_15_3	8.0	0.253695	0.2164835	
160	lowwgd	0.01	20	3	sitka	data_lowwgd_0.01_20_3	10.0	0.19707909	0.04628237	
161	lowwgd	0.01	250	3	sitka	data_lowwgd_0.01_250_3	274.0	0.6666381	0.304399	
162	lowwgd	0.01	3	0	sitka	data_lowwgd_0.01_3_0	0.0	0.0	0.0	
163	lowwgd	0.01	3	1	sitka	data_lowwgd_0.01_3_1	1.0	1.0	0.5	
164	lowwgd	0.01	3	10	sitka	data_lowwgd_0.01_3_10	0.0	0.0	0.0	
165	lowwgd	0.01	3	11	sitka	data_lowwgd_0.01_3_11	1.0	1.0	0.5	
166	lowwgd	0.01	3	12	sitka	data_lowwgd_0.01_3_12	0.0	0.0	0.0	
167	lowwgd	0.01	3	13	sitka	data_lowwgd_0.01_3_13	1.0	1.0	0.5	
168	lowwgd	0.01	3	14	sitka	data_lowwgd_0.01_3_14	0.0	0.0	0.0	
169	lowwgd	0.01	3	15	sitka	data_lowwgd_0.01_3_15	1.0	1.0	0.5	
170	lowwgd	0.01	3	16	sitka	data_lowwgd_0.01_3_16	1.0	1.0	0.5	
171	lowwgd	0.01	3	17	sitka	data_lowwgd_0.01_3_17	0.0	0.0	0.0	
172	lowwgd	0.01	3	18	sitka	data_lowwgd_0.01_3_18	0.0	0.0	0.0	
173	lowwgd	0.01	3	19	sitka	data_lowwgd_0.01_3_19	1.0	1.0	0.5	
174	lowwgd	0.01	3	2	sitka	data_lowwgd_0.01_3_2	0.0	0.0	0.0	
175	lowwgd	0.01	3	20	sitka	data_lowwgd_0.01_3_20	1.0	1.0	0.5	
176	lowwgd	0.01	3	21	sitka	data_lowwgd_0.01_3_21	1.0	1.0	0.5	
177	lowwgd	0.01	3	22	sitka	data_lowwgd_0.01_3_22	1.0	1.0	0.5	
178	lowwgd	0.01	3	23	sitka	data_lowwgd_0.01_3_23	0.0	0.0	0.0	
179	lowwgd	0.01	3	24	sitka	data_lowwgd_0.01_3_24	0.0	0.0	0.0	
180	lowwgd	0.01	3	3	sitka	data_lowwgd_0.01_3_3	1.0	1.0	0.5	
181	lowwgd	0.01	3	4	sitka	data_lowwgd_0.01_3_4	0.0	0.0	0.0	
182	lowwgd	0.01	3	5	sitka	data_lowwgd_0.01_3_5	0.0	0.0	0.0	
183	lowwgd	0.01	3	6	sitka	data_lowwgd_0.01_3_6	0.0	0.0	0.0	
184	lowwgd	0.01	3	7	sitka	data_lowwgd_0.01_3_7	1.0	1.0	0.5	
185	lowwgd	0.01	3	8	sitka	data_lowwgd_0.01_3_8	0.0	0.0	0.0	
186	lowwgd	0.01	3	9	sitka	data_lowwgd_0.01_3_9	1.0	1.0	0.5	
187	lowwgd	0.01	500	3	sitka	data_lowwgd_0.01_500_3	546.0	0.7614413	0.0	
188	lowwgd	0.01	50	3	sitka	data_lowwgd_0.01_50_3	44.0	0.4372081	0.1751861	
189	lowwgd	0.01	5	3	sitka	data_lowwgd_0.01_5_3	1.0	0.1931267	0.1	
190	lowwgd	0.025	100	3	sitka	data_lowwgd_0.025_100_3	126.0	0.6271608	0.3899181	
191	lowwgd	0.025	10	3	sitka	data_lowwgd_0.025_10_3	7.0	0.4158764	0.2121212	
192	lowwgd	0.025	15	3	sitka	data_lowwgd_0.025_15_3	5.0	0.13725094	0.07472527	
193	lowwgd	0.025	20	3	sitka	data_lowwgd_0.025_20_3	6.0	0.1153751	0.0502924	
194	lowwgd	0.025	250	3	sitka	data_lowwgd_0.025_250_3	293.0	0.8376625	0.4577418	
195	lowwgd	0.025	3	0	sitka	data_lowwgd_0.025_3_0	2.0	1.0	1.0	
196	lowwgd	0.025	3	1	sitka	data_lowwgd_0.025_3_1	0.0	0.0	0.0	
197	lowwgd	0.025	3	10	sitka	data_lowwgd_0.025_3_10	0.0	0.0	0.0	
198	lowwgd	0.025	3	11	sitka	data_lowwgd_0.025_3_11	0.0	0.0	0.0	
199	lowwgd	0.025	3	12	sitka	data_lowwgd_0.025_3_12	0.0	0.0	0.0	
200	lowwgd	0.025	3	13	sitka	data_lowwgd_0.025_3_13	0.0	0.0	0.0	
201	lowwgd	0.025	3	14	sitka	data_lowwgd_0.025_3_14	0.0	0.0	0.0	
202	lowwgd	0.025	3	15	sitka	data_lowwgd_0.025_3_15	1.0	1.0	0.5	
203	lowwgd	0.025	3	16	sitka	data_lowwgd_0.025_3_16	0.0	0.0	0.0	
204	lowwgd	0.025	3	17	sitka	data_lowwgd_0.025_3_17	0.0	0.0	0.0	
205	lowwgd	0.025	3	18	sitka	data_lowwgd_0.025_3_18	2.0	1.0	1.0	
206	lowwgd	0.025	3	19	sitka	data_lowwgd_0.025_3_19	0.0	0.0	0.0	
207	lowwgd	0.025	3	2	sitka	data_lowwgd_0.025_3_2	0.0	0.0	0.0	
208	lowwgd	0.025	3	20	sitka	data_lowwgd_0.025_3_20	0.0	0.0	0.0	
209	lowwgd	0.025	3	21	sitka	data_lowwgd_0.025_3_21	0.0	0.0	0.0	
210	lowwgd	0.025	3	22	sitka	data_lowwgd_0.025_3_22	0.0	0.0	0.0	
211	lowwgd	0.025	3	23	sitka	data_lowwgd_0.025_3_23	0.0	0.0	0.0	
212	lowwgd	0.025	3	24	sitka	data_lowwgd_0.025_3_24	0.0	0.0	0.0	
213	lowwgd	0.025	3	3	sitka	data_lowwgd_0.025_3_3	0.0	0.0	0.0	
214	lowwgd	0.025	3	4	sitka	data_lowwgd_0.025_3_4	0.0	0.0	0.0	
215	lowwgd	0.025	3	5	sitka	data_lowwgd_0.025_3_5	0.0	0.0	0.0	
216	lowwgd	0.025	3	6	sitka	data_lowwgd_0.025_3_6	0.0	0.0	0.0	
217	lowwgd	0.025	3	7	sitka	data_lowwgd_0.025_3_7	0.0	0.0	0.0	
218	lowwgd	0.025	3	8	sitka	data_lowwgd_0.025_3_8	0.0	0.0	0.0	
219	lowwgd	0.025	3	9	sitka	data_lowwgd_0.025_3_9	0.0	0.0	0.0	
220	lowwgd	0.025	500	3	sitka	data_lowwgd_0.025_500_3	544.0	0.9227351	0.0	
221	lowwgd	0.025	50	3	sitka	data_lowwgd_0.025_50_3	51.0	0.34780794	0.08848339	
222	lowwgd	0.025	5	3	sitka	data_lowwgd_0.025_5_3	2.0	0.3081816	0.2	
223	lowwgd	0.05	100	3	sitka	data_lowwgd_0.05_100_3	127.0	0.7384958	0.4107244	
224	lowwgd	0.05	10	3	sitka	data_lowwgd_0.05_10_3	2.0	0.11013238	0.04242424	
225	lowwgd	0.05	15	3	sitka	data_lowwgd_0.05_15_3	15.0	0.5271691	0.3697802	
226	lowwgd	0.05	20	3	sitka	data_lowwgd_0.05_20_3	15.0	0.3146825	0.2066834	
227	lowwgd	0.05	250	3	sitka	data_lowwgd_0.05_250_3	279.0	0.8892914	0.5261367	
228	lowwgd	0.05	3	0	sitka	data_lowwgd_0.05_3_0	0.0	0.0	0.0	
229	lowwgd	0.05	3	1	sitka	data_lowwgd_0.05_3_1	0.0	0.0	0.0	
230	lowwgd	0.05	3	10	sitka	data_lowwgd_0.05_3_10	0.0	0.0	0.0	
231	lowwgd	0.05	3	11	sitka	data_lowwgd_0.05_3_11	0.0	0.0	0.0	
232	lowwgd	0.05	3	12	sitka	data_lowwgd_0.05_3_12	0.0	0.0	0.0	
233	lowwgd	0.05	3	13	sitka	data_lowwgd_0.05_3_13	0.0	0.0	0.0	
234	lowwgd	0.05	3	14	sitka	data_lowwgd_0.05_3_14	0.0	0.0	0.0	
235	lowwgd	0.05	3	15	sitka	data_lowwgd_0.05_3_15	0.0	0.0	0.0	
236	lowwgd	0.05	3	16	sitka	data_lowwgd_0.05_3_16	0.0	0.0	0.0	
237	lowwgd	0.05	3	17	sitka	data_lowwgd_0.05_3_17	0.0	0.0	0.0	
238	lowwgd	0.05	3	18	sitka	data_lowwgd_0.05_3_18	0.0	0.0	0.0	
239	lowwgd	0.05	3	19	sitka	data_lowwgd_0.05_3_19	0.0	0.0	0.0	
240	lowwgd	0.05	3	2	sitka	data_lowwgd_0.05_3_2	0.0	0.0	0.0	
241	lowwgd	0.05	3	20	sitka	data_lowwgd_0.05_3_20	0.0	0.0	0.0	
242	lowwgd	0.05	3	21	sitka	data_lowwgd_0.05_3_21	2.0	1.0	1.0	
243	lowwgd	0.05	3	22	sitka	data_lowwgd_0.05_3_22	2.0	1.0	1.0	
244	lowwgd	0.05	3	23	sitka	data_lowwgd_0.05_3_23	0.0	0.0	0.0	
245	lowwgd	0.05	3	24	sitka	data_lowwgd_0.05_3_24	0.0	0.0	0.0	
246	lowwgd	0.05	3	3	sitka	data_lowwgd_0.05_3_3	2.0	1.0	1.0	
247	lowwgd	0.05	3	4	sitka	data_lowwgd_0.05_3_4	0.0	0.0	0.0	
248	lowwgd	0.05	3	5	sitka	data_lowwgd_0.05_3_5	0.0	0.0	0.0	
249	lowwgd	0.05	3	6	sitka	data_lowwgd_0.05_3_6	0.0	0.0	0.0	
250	lowwgd	0.05	3	7	sitka	data_lowwgd_0.05_3_7	0.0	0.0	0.0	
251	lowwgd	0.05	3	8	sitka	data_lowwgd_0.05_3_8	0.0	0.0	0.0	
252	lowwgd	0.05	3	9	sitka	data_lowwgd_0.05_3_9	0.0	0.0	0.0	
253	lowwgd	0.05	500	3	sitka	data_lowwgd_0.05_500_3	532.0	0.9393891	0.0	
254	lowwgd	0.05	50	3	sitka	data_lowwgd_0.05_50_3	65.0	0.7083262	0.4839256	
255	lowwgd	0.05	5	3	sitka	data_lowwgd_0.05_5_3	2.0	0.3081816	0.2	
256	lowwgd	0.075	10	3	sitka	data_lowwgd_0.075_10_3	5.0	0.26309955	0.07878788	
257	lowwgd	0.075	15	3	sitka	data_lowwgd_0.075_15_3	19.0	0.4668984	0.2725275	
258	lowwgd	0.075	20	3	sitka	data_lowwgd_0.075_20_3	21.0	0.4569856	0.2006683	
259	lowwgd	0.075	3	0	sitka	data_lowwgd_0.075_3_0	0.0	0.0	0.0	
260	lowwgd	0.075	3	1	sitka	data_lowwgd_0.075_3_1	0.0	0.0	0.0	
261	lowwgd	0.075	3	10	sitka	data_lowwgd_0.075_3_10	0.0	0.0	0.0	
262	lowwgd	0.075	3	11	sitka	data_lowwgd_0.075_3_11	0.0	0.0	0.0	
263	lowwgd	0.075	3	12	sitka	data_lowwgd_0.075_3_12	0.0	0.0	0.0	
264	lowwgd	0.075	3	13	sitka	data_lowwgd_0.075_3_13	2.0	1.0	1.0	
265	lowwgd	0.075	3	14	sitka	data_lowwgd_0.075_3_14	0.0	0.0	0.0	
266	lowwgd	0.075	3	15	sitka	data_lowwgd_0.075_3_15	0.0	0.0	0.0	
267	lowwgd	0.075	3	16	sitka	data_lowwgd_0.075_3_16	0.0	0.0	0.0	
268	lowwgd	0.075	3	17	sitka	data_lowwgd_0.075_3_17	0.0	0.0	0.0	
269	lowwgd	0.075	3	18	sitka	data_lowwgd_0.075_3_18	0.0	0.0	0.0	
270	lowwgd	0.075	3	19	sitka	data_lowwgd_0.075_3_19	2.0	1.0	1.0	
271	lowwgd	0.075	3	2	sitka	data_lowwgd_0.075_3_2	0.0	0.0	0.0	
272	lowwgd	0.075	3	20	sitka	data_lowwgd_0.075_3_20	0.0	0.0	0.0	
273	lowwgd	0.075	3	21	sitka	data_lowwgd_0.075_3_21	0.0	0.0	0.0	
274	lowwgd	0.075	3	22	sitka	data_lowwgd_0.075_3_22	0.0	0.0	0.0	
275	lowwgd	0.075	3	23	sitka	data_lowwgd_0.075_3_23	0.0	0.0	0.0	
276	lowwgd	0.075	3	24	sitka	data_lowwgd_0.075_3_24	0.0	0.0	0.0	
277	lowwgd	0.075	3	3	sitka	data_lowwgd_0.075_3_3	0.0	0.0	0.0	
278	lowwgd	0.075	3	4	sitka	data_lowwgd_0.075_3_4	0.0	0.0	0.0	
279	lowwgd	0.075	3	5	sitka	data_lowwgd_0.075_3_5	0.0	0.0	0.0	
280	lowwgd	0.075	3	6	sitka	data_lowwgd_0.075_3_6	0.0	0.0	0.0	
281	lowwgd	0.075	3	7	sitka	data_lowwgd_0.075_3_7	0.0	0.0	0.0	
282	lowwgd	0.075	3	8	sitka	data_lowwgd_0.075_3_8	0.0	0.0	0.0	
283	lowwgd	0.075	3	9	sitka	data_lowwgd_0.075_3_9	0.0	0.0	0.0	
284	lowwgd	0.075	5	3	sitka	data_lowwgd_0.075_5_3	2.0	0.3081816	0.2	
285	lowwgd	0.1	10	3	sitka	data_lowwgd_0.1_10_3	8.0	0.4356757	0.3636364	
