Rate	Number of Leaves	n	WGD	Method	Distance
0.01	5	2	No WGD	Hamming Min. Ev.	0.0
0.01	5	2	No WGD	Hamming NJ	0.0
0.01	5	2	No WGD	MEDICC2	0.0
0.01	5	3	High WGD	MEDALT	0.836183026529995
0.01	5	3	High WGD	Euclidean Min. Ev.	0.0
0.01	5	3	High WGD	Euclidean NJ	0.0
0.01	5	3	High WGD	Hamming Min. Ev.	0.0
0.01	5	3	High WGD	Hamming NJ	0.0
0.01	5	3	High WGD	MEDICC2	0.0
0.01	5	3	Low WGD	MEDALT	0.496393634439739
0.01	5	3	Low WGD	Euclidean Min. Ev.	0.0
0.01	5	3	Low WGD	Euclidean NJ	0.0
0.01	5	3	Low WGD	Hamming Min. Ev.	0.0
0.01	5	3	Low WGD	Hamming NJ	0.0
0.01	5	3	Low WGD	MEDICC2	0.0
0.01	5	3	No WGD	MEDALT	0.496393634439739
0.01	5	3	No WGD	Euclidean Min. Ev.	0.0
0.01	5	3	No WGD	Euclidean NJ	0.0
0.01	5	3	No WGD	Hamming Min. Ev.	0.0
0.01	5	3	No WGD	Hamming NJ	0.0
0.01	5	3	No WGD	MEDICC2	0.0
0.01	5	4	High WGD	MEDALT	0.52258330532872
0.01	5	4	High WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	4	High WGD	Euclidean NJ	0.308181620264318
0.01	5	4	High WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	4	High WGD	Hamming NJ	0.308181620264318
0.01	5	4	High WGD	MEDICC2	0.0
0.01	5	4	Low WGD	MEDALT	0.52258330532872
0.01	5	4	Low WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	4	Low WGD	Euclidean NJ	0.491528404008749
0.01	5	4	Low WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	4	Low WGD	Hamming NJ	0.514401820125203
0.01	5	4	Low WGD	MEDICC2	0.308181620264318
0.01	5	4	No WGD	MEDALT	0.52258330532872
0.01	5	4	No WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	4	No WGD	Euclidean NJ	0.491528404008749
0.01	5	4	No WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	4	No WGD	Hamming NJ	0.514401820125203
0.01	5	4	No WGD	MEDICC2	0.308181620264318
0.01	5	5	High WGD	MEDALT	0.435317354201061
0.01	5	5	High WGD	Euclidean Min. Ev.	0.0
0.01	5	5	High WGD	Euclidean NJ	0.0
0.01	5	5	High WGD	Hamming Min. Ev.	0.0
0.01	5	5	High WGD	Hamming NJ	0.343074842208707
0.01	5	5	High WGD	MEDICC2	0.0
0.01	5	5	Low WGD	MEDALT	0.524526516346385
0.01	5	5	Low WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	5	Low WGD	Euclidean NJ	0.308181620264318
0.01	5	5	Low WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	5	Low WGD	Hamming NJ	0.308181620264318
0.01	5	5	Low WGD	MEDICC2	0.308181620264318
0.01	5	5	No WGD	MEDALT	0.524526516346385
0.01	5	5	No WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	5	No WGD	Euclidean NJ	0.308181620264318
0.01	5	5	No WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	5	No WGD	Hamming NJ	0.308181620264318
0.01	5	5	No WGD	MEDICC2	0.308181620264318
0.01	5	6	High WGD	MEDALT	0.54436714447631
0.01	5	6	High WGD	Euclidean Min. Ev.	0.343074842208707
0.01	5	6	High WGD	Euclidean NJ	0.0
0.01	5	6	High WGD	Hamming Min. Ev.	0.343074842208707
0.01	5	6	High WGD	Hamming NJ	0.0
0.01	5	6	High WGD	MEDICC2	0.343074842208707
0.01	5	6	Low WGD	MEDALT	0.54436714447631
0.01	5	6	Low WGD	Euclidean Min. Ev.	0.343074842208707
0.01	5	6	Low WGD	Euclidean NJ	0.0
0.01	5	6	Low WGD	Hamming Min. Ev.	0.343074842208707
0.01	5	6	Low WGD	Hamming NJ	0.0
0.01	5	6	Low WGD	MEDICC2	0.343074842208707
0.01	5	6	No WGD	MEDALT	0.54436714447631
0.01	5	6	No WGD	Euclidean Min. Ev.	0.343074842208707
0.01	5	6	No WGD	Euclidean NJ	0.0
0.01	5	6	No WGD	Hamming Min. Ev.	0.343074842208707
0.01	5	6	No WGD	Hamming NJ	0.0
0.01	5	6	No WGD	MEDICC2	0.343074842208707
0.01	5	7	High WGD	MEDALT	0.358722062710725
0.01	5	7	High WGD	Euclidean Min. Ev.	0.0
0.01	5	7	High WGD	Euclidean NJ	0.0
0.01	5	7	High WGD	Hamming Min. Ev.	0.0
0.01	5	7	High WGD	Hamming NJ	0.0
0.01	5	7	High WGD	MEDICC2	0.0
0.01	5	7	Low WGD	MEDALT	0.358722062710725
0.01	5	7	Low WGD	Euclidean Min. Ev.	0.0
0.01	5	7	Low WGD	Euclidean NJ	0.0
0.01	5	7	Low WGD	Hamming Min. Ev.	0.0
0.01	5	7	Low WGD	Hamming NJ	0.0
0.01	5	7	Low WGD	MEDICC2	0.0
0.01	5	7	No WGD	MEDALT	0.358722062710725
0.01	5	7	No WGD	Euclidean Min. Ev.	0.0
0.01	5	7	No WGD	Euclidean NJ	0.0
0.01	5	7	No WGD	Hamming Min. Ev.	0.0
0.01	5	7	No WGD	Hamming NJ	0.0
0.01	5	7	No WGD	MEDICC2	0.0
0.01	5	8	High WGD	MEDALT	1.0
0.01	5	8	High WGD	Euclidean Min. Ev.	0.0
0.01	5	8	High WGD	Euclidean NJ	0.308181620264318
0.01	5	8	High WGD	Hamming Min. Ev.	0.0
0.01	5	8	High WGD	Hamming NJ	0.514401820125203
0.01	5	8	High WGD	MEDICC2	0.323732119916531
0.01	5	8	Low WGD	MEDALT	1.0
0.01	5	8	Low WGD	Euclidean Min. Ev.	0.0
0.01	5	8	Low WGD	Euclidean NJ	0.308181620264318
0.01	5	8	Low WGD	Hamming Min. Ev.	0.0
0.01	5	8	Low WGD	Hamming NJ	0.514401820125203
0.01	5	8	Low WGD	MEDICC2	0.323732119916531
0.01	5	8	No WGD	MEDALT	1.0
0.01	5	8	No WGD	Euclidean Min. Ev.	0.0
0.01	5	8	No WGD	Euclidean NJ	0.308181620264318
0.01	5	8	No WGD	Hamming Min. Ev.	0.0
0.01	5	8	No WGD	Hamming NJ	0.514401820125203
0.01	5	8	No WGD	MEDICC2	0.323732119916531
0.01	5	9	High WGD	MEDALT	0.6352227649751
0.01	5	9	High WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	9	High WGD	Euclidean NJ	0.0
0.01	5	9	High WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	9	High WGD	Hamming NJ	0.0
0.01	5	9	High WGD	MEDICC2	0.308181620264318
0.01	5	9	Low WGD	MEDALT	0.6352227649751
0.01	5	9	Low WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	9	Low WGD	Euclidean NJ	0.0
0.01	5	9	Low WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	9	Low WGD	Hamming NJ	0.0
0.01	5	9	Low WGD	MEDICC2	0.308181620264318
0.01	5	9	No WGD	MEDALT	0.6352227649751
0.01	5	9	No WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	9	No WGD	Euclidean NJ	0.0
0.01	5	9	No WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	9	No WGD	Hamming NJ	0.0
0.01	5	9	No WGD	MEDICC2	0.308181620264318
0.01	5	10	High WGD	MEDALT	0.321148929256266
0.01	5	10	High WGD	Euclidean Min. Ev.	0.0
0.01	5	10	High WGD	Euclidean NJ	0.0
0.01	5	10	High WGD	Hamming Min. Ev.	0.0
0.01	5	10	High WGD	Hamming NJ	0.0
0.01	5	10	High WGD	MEDICC2	0.0
0.01	5	10	Low WGD	MEDALT	0.321148929256266
0.01	5	10	Low WGD	Euclidean Min. Ev.	0.0
0.01	5	10	Low WGD	Euclidean NJ	0.0
0.01	5	10	Low WGD	Hamming Min. Ev.	0.0
0.01	5	10	Low WGD	Hamming NJ	0.0
0.01	5	10	Low WGD	MEDICC2	0.0
0.01	5	10	No WGD	MEDALT	0.321148929256266
0.01	5	10	No WGD	Euclidean Min. Ev.	0.0
0.01	5	10	No WGD	Euclidean NJ	0.0
0.01	5	10	No WGD	Hamming Min. Ev.	0.0
0.01	5	10	No WGD	Hamming NJ	0.0
0.01	5	10	No WGD	MEDICC2	0.0
0.01	5	11	High WGD	MEDALT	0.517959650460847
0.01	5	11	High WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	11	High WGD	Euclidean NJ	0.0
0.01	5	11	High WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	11	High WGD	Hamming NJ	0.0
0.01	5	11	High WGD	MEDICC2	0.0
0.01	5	11	Low WGD	MEDALT	0.517959650460847
0.01	5	11	Low WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	11	Low WGD	Euclidean NJ	0.0
0.01	5	11	Low WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	11	Low WGD	Hamming NJ	0.0
0.01	5	11	Low WGD	MEDICC2	0.0
0.01	5	11	No WGD	MEDALT	0.517959650460847
0.01	5	11	No WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	11	No WGD	Euclidean NJ	0.0
0.01	5	11	No WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	11	No WGD	Hamming NJ	0.0
0.01	5	11	No WGD	MEDICC2	0.0
0.01	5	12	High WGD	MEDALT	0.261408645726684
0.01	5	12	High WGD	Euclidean Min. Ev.	0.0
0.01	5	12	High WGD	Euclidean NJ	0.0
0.01	5	12	High WGD	Hamming Min. Ev.	0.0
0.01	5	12	High WGD	Hamming NJ	0.0
0.01	5	12	High WGD	MEDICC2	0.0
0.01	5	12	Low WGD	MEDALT	0.261408645726684
0.01	5	12	Low WGD	Euclidean Min. Ev.	0.0
0.01	5	12	Low WGD	Euclidean NJ	0.0
0.01	5	12	Low WGD	Hamming Min. Ev.	0.0
0.01	5	12	Low WGD	Hamming NJ	0.0
0.01	5	12	Low WGD	MEDICC2	0.0
0.01	5	12	No WGD	MEDALT	0.261408645726684
0.01	5	12	No WGD	Euclidean Min. Ev.	0.0
0.01	5	12	No WGD	Euclidean NJ	0.0
0.01	5	12	No WGD	Hamming Min. Ev.	0.0
0.01	5	12	No WGD	Hamming NJ	0.0
0.01	5	12	No WGD	MEDICC2	0.0
0.01	5	13	High WGD	MEDALT	1.0
0.01	5	13	High WGD	Euclidean Min. Ev.	0.0
0.01	5	13	High WGD	Euclidean NJ	0.0
0.01	5	13	High WGD	Hamming Min. Ev.	0.0
0.01	5	13	High WGD	Hamming NJ	0.343074842208707
0.01	5	13	High WGD	MEDICC2	0.343074842208707
0.01	5	13	Low WGD	MEDALT	1.0
0.01	5	13	Low WGD	Euclidean Min. Ev.	0.0
0.01	5	13	Low WGD	Euclidean NJ	0.0
0.01	5	13	Low WGD	Hamming Min. Ev.	0.0
0.01	5	13	Low WGD	Hamming NJ	0.343074842208707
0.01	5	13	Low WGD	MEDICC2	0.343074842208707
0.01	5	13	No WGD	MEDALT	1.0
0.01	5	13	No WGD	Euclidean Min. Ev.	0.0
0.01	5	13	No WGD	Euclidean NJ	0.0
0.01	5	13	No WGD	Hamming Min. Ev.	0.0
0.01	5	13	No WGD	Hamming NJ	0.343074842208707
0.01	5	13	No WGD	MEDICC2	0.343074842208707
0.01	5	14	High WGD	MEDALT	0.358722062710725
0.01	5	14	High WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	14	High WGD	Euclidean NJ	0.308181620264318
0.01	5	14	High WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	14	High WGD	Hamming NJ	0.0
0.01	5	14	High WGD	MEDICC2	0.308181620264318
0.01	5	14	Low WGD	MEDALT	0.358722062710725
0.01	5	14	Low WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	14	Low WGD	Euclidean NJ	0.308181620264318
0.01	5	14	Low WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	14	Low WGD	Hamming NJ	0.0
0.01	5	14	Low WGD	MEDICC2	0.308181620264318
0.01	5	14	No WGD	MEDALT	0.358722062710725
0.01	5	14	No WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	14	No WGD	Euclidean NJ	0.308181620264318
0.01	5	14	No WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	14	No WGD	Hamming NJ	0.0
0.01	5	14	No WGD	MEDICC2	0.308181620264318
0.01	5	15	High WGD	MEDALT	0.496458026037291
0.01	5	15	High WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	15	High WGD	Euclidean NJ	0.308181620264318
0.01	5	15	High WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	15	High WGD	Hamming NJ	0.0
0.01	5	15	High WGD	MEDICC2	0.0
0.01	5	15	Low WGD	MEDALT	0.496458026037291
0.01	5	15	Low WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	15	Low WGD	Euclidean NJ	0.308181620264318
0.01	5	15	Low WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	15	Low WGD	Hamming NJ	0.0
0.01	5	15	Low WGD	MEDICC2	0.0
0.01	5	15	No WGD	MEDALT	0.496458026037291
0.01	5	15	No WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	15	No WGD	Euclidean NJ	0.308181620264318
0.01	5	15	No WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	15	No WGD	Hamming NJ	0.0
0.01	5	15	No WGD	MEDICC2	0.0
0.01	5	16	High WGD	MEDALT	0.647739899902022
0.01	5	16	High WGD	Euclidean Min. Ev.	0.558755960027823
0.01	5	16	High WGD	Euclidean NJ	0.558755960027823
0.01	5	16	High WGD	Hamming Min. Ev.	0.558755960027823
0.01	5	16	High WGD	Hamming NJ	0.343074842208707
0.01	5	16	High WGD	MEDICC2	0.558755960027823
0.01	5	16	Low WGD	MEDALT	0.647739899902022
0.01	5	16	Low WGD	Euclidean Min. Ev.	0.558755960027823
0.01	5	16	Low WGD	Euclidean NJ	0.558755960027823
0.01	5	16	Low WGD	Hamming Min. Ev.	0.558755960027823
0.01	5	16	Low WGD	Hamming NJ	0.343074842208707
0.01	5	16	Low WGD	MEDICC2	0.558755960027823
0.01	5	16	No WGD	MEDALT	0.647739899902022
0.01	5	16	No WGD	Euclidean Min. Ev.	0.558755960027823
0.01	5	16	No WGD	Euclidean NJ	0.558755960027823
0.01	5	16	No WGD	Hamming Min. Ev.	0.558755960027823
0.01	5	16	No WGD	Hamming NJ	0.343074842208707
0.01	5	16	No WGD	MEDICC2	0.558755960027823
0.01	5	17	High WGD	MEDALT	0.358722062710725
0.01	5	17	High WGD	Euclidean Min. Ev.	0.343074842208707
0.01	5	17	High WGD	Euclidean NJ	0.0
0.01	5	17	High WGD	Hamming Min. Ev.	0.343074842208707
0.01	5	17	High WGD	Hamming NJ	0.0
0.01	5	17	High WGD	MEDICC2	0.0
0.01	5	17	Low WGD	MEDALT	0.358722062710725
0.01	5	17	Low WGD	Euclidean Min. Ev.	0.343074842208707
0.01	5	17	Low WGD	Euclidean NJ	0.0
0.01	5	17	Low WGD	Hamming Min. Ev.	0.343074842208707
0.01	5	17	Low WGD	Hamming NJ	0.0
0.01	5	17	Low WGD	MEDICC2	0.0
0.01	5	17	No WGD	MEDALT	0.358722062710725
0.01	5	17	No WGD	Euclidean Min. Ev.	0.343074842208707
0.01	5	17	No WGD	Euclidean NJ	0.0
0.01	5	17	No WGD	Hamming Min. Ev.	0.343074842208707
0.01	5	17	No WGD	Hamming NJ	0.0
0.01	5	17	No WGD	MEDICC2	0.0
0.01	5	18	High WGD	MEDALT	0.503948371835981
0.01	5	18	High WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	18	High WGD	Euclidean NJ	0.308181620264318
0.01	5	18	High WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	18	High WGD	Hamming NJ	0.0
0.01	5	18	High WGD	MEDICC2	0.0
0.01	5	18	Low WGD	MEDALT	0.503948371835981
0.01	5	18	Low WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	18	Low WGD	Euclidean NJ	0.308181620264318
0.01	5	18	Low WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	18	Low WGD	Hamming NJ	0.0
0.01	5	18	Low WGD	MEDICC2	0.0
0.01	5	18	No WGD	MEDALT	0.503948371835981
0.01	5	18	No WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	18	No WGD	Euclidean NJ	0.308181620264318
0.01	5	18	No WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	18	No WGD	Hamming NJ	0.0
0.01	5	18	No WGD	MEDICC2	0.0
0.01	5	19	High WGD	MEDALT	0.193126721428565
0.01	5	19	High WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	19	High WGD	Euclidean NJ	0.308181620264318
0.01	5	19	High WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	19	High WGD	Hamming NJ	0.0
0.01	5	19	High WGD	MEDICC2	0.0
0.01	5	19	Low WGD	MEDALT	0.193126721428565
0.01	5	19	Low WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	19	Low WGD	Euclidean NJ	0.308181620264318
0.01	5	19	Low WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	19	Low WGD	Hamming NJ	0.0
0.01	5	19	Low WGD	MEDICC2	0.0
0.01	5	19	No WGD	MEDALT	0.193126721428565
0.01	5	19	No WGD	Euclidean Min. Ev.	0.308181620264318
0.01	5	19	No WGD	Euclidean NJ	0.308181620264318
0.01	5	19	No WGD	Hamming Min. Ev.	0.308181620264318
0.01	5	19	No WGD	Hamming NJ	0.0
0.01	5	19	No WGD	MEDICC2	0.0
0.01	5	20	High WGD	MEDALT	0.358722062710725
0.01	5	20	High WGD	Euclidean Min. Ev.	0.0
0.01	5	20	High WGD	Euclidean NJ	0.0
0.01	5	20	High WGD	Hamming Min. Ev.	0.0
0.01	5	20	High WGD	Hamming NJ	0.0
0.01	5	20	High WGD	MEDICC2	0.0
0.01	5	20	Low WGD	MEDALT	0.358722062710725
0.01	5	20	Low WGD	Euclidean Min. Ev.	0.0
0.01	5	20	Low WGD	Euclidean NJ	0.0
0.01	5	20	Low WGD	Hamming Min. Ev.	0.0
0.01	5	20	Low WGD	Hamming NJ	0.0
0.01	5	20	Low WGD	MEDICC2	0.0
0.01	5	20	No WGD	MEDALT	0.358722062710725
0.01	5	20	No WGD	Euclidean Min. Ev.	0.0
0.01	5	20	No WGD	Euclidean NJ	0.0
0.01	5	20	No WGD	Hamming Min. Ev.	0.0
0.01	5	20	No WGD	Hamming NJ	0.0
0.01	5	20	No WGD	MEDICC2	0.0
0.01	5	21	High WGD	MEDALT	0.193126721428565
0.01	5	21	High WGD	Euclidean Min. Ev.	0.470047680222583
0.01	5	21	High WGD	Euclidean NJ	0.308181620264318
0.01	5	21	High WGD	Hamming Min. Ev.	0.470047680222583
0.01	5	21	High WGD	Hamming NJ	0.470047680222583
0.01	5	21	High WGD	MEDICC2	0.0
0.01	5	21	Low WGD	MEDALT	0.193126721428565
0.01	5	21	Low WGD	Euclidean Min. Ev.	0.470047680222583
0.01	5	21	Low WGD	Euclidean NJ	0.308181620264318
0.01	5	21	Low WGD	Hamming Min. Ev.	0.470047680222583
0.01	5	21	Low WGD	Hamming NJ	0.470047680222583
0.01	5	21	Low WGD	MEDICC2	0.0
0.01	5	21	No WGD	MEDALT	0.193126721428565
0.01	5	21	No WGD	Euclidean Min. Ev.	0.470047680222583
0.01	5	21	No WGD	Euclidean NJ	0.308181620264318
0.01	5	21	No WGD	Hamming Min. Ev.	0.470047680222583
0.01	5	21	No WGD	Hamming NJ	0.470047680222583
0.01	5	21	No WGD	MEDICC2	0.0
0.01	5	22	High WGD	MEDALT	0.502240984245098
0.01	5	22	High WGD	Euclidean Min. Ev.	0.0
0.01	5	22	High WGD	Euclidean NJ	0.0
0.01	5	22	High WGD	Hamming Min. Ev.	0.0
0.01	5	22	High WGD	Hamming NJ	0.308181620264318
0.01	5	22	High WGD	MEDICC2	0.308181620264318
0.01	5	22	Low WGD	MEDALT	0.502240984245098
0.01	5	22	Low WGD	Euclidean Min. Ev.	0.0
0.01	5	22	Low WGD	Euclidean NJ	0.0
0.01	5	22	Low WGD	Hamming Min. Ev.	0.0
0.01	5	22	Low WGD	Hamming NJ	0.308181620264318
0.01	5	22	Low WGD	MEDICC2	0.308181620264318
0.01	5	22	No WGD	MEDALT	0.502240984245098
0.01	5	22	No WGD	Euclidean Min. Ev.	0.0
0.01	5	22	No WGD	Euclidean NJ	0.0
0.01	5	22	No WGD	Hamming Min. Ev.	0.0
0.01	5	22	No WGD	Hamming NJ	0.308181620264318
0.01	5	22	No WGD	MEDICC2	0.308181620264318
0.01	5	23	High WGD	MEDALT	0.799086165364304
0.01	5	23	High WGD	Euclidean Min. Ev.	0.343074842208707
0.01	5	23	High WGD	Euclidean NJ	0.343074842208707
0.01	5	23	High WGD	Hamming Min. Ev.	0.343074842208707
0.01	5	23	High WGD	Hamming NJ	0.0
0.01	5	23	High WGD	MEDICC2	0.323732119916531
0.01	5	23	Low WGD	MEDALT	0.799086165364304
0.01	5	23	Low WGD	Euclidean Min. Ev.	0.343074842208707
0.01	5	23	Low WGD	Euclidean NJ	0.343074842208707
0.01	5	23	Low WGD	Hamming Min. Ev.	0.343074842208707
0.01	5	23	Low WGD	Hamming NJ	0.0
0.01	5	23	Low WGD	MEDICC2	0.323732119916531
0.01	5	23	No WGD	MEDALT	0.799086165364304
0.01	5	23	No WGD	Euclidean Min. Ev.	0.343074842208707
0.01	5	23	No WGD	Euclidean NJ	0.343074842208707
0.01	5	23	No WGD	Hamming Min. Ev.	0.343074842208707
0.01	5	23	No WGD	Hamming NJ	0.0
0.01	5	23	No WGD	MEDICC2	0.323732119916531
0.01	5	24	High WGD	MEDALT	0.358722062710725
0.01	5	24	High WGD	Euclidean Min. Ev.	0.470047680222583
0.01	5	24	High WGD	Euclidean NJ	0.308181620264318
0.01	5	24	High WGD	Hamming Min. Ev.	0.470047680222583
0.01	5	24	High WGD	Hamming NJ	0.308181620264318
0.01	5	24	High WGD	MEDICC2	0.308181620264318
0.01	5	24	Low WGD	MEDALT	0.358722062710725
0.01	5	24	Low WGD	Euclidean Min. Ev.	0.470047680222583
0.01	5	24	Low WGD	Euclidean NJ	0.308181620264318
0.01	5	24	Low WGD	Hamming Min. Ev.	0.470047680222583
0.01	5	24	Low WGD	Hamming NJ	0.308181620264318
0.01	5	24	Low WGD	MEDICC2	0.308181620264318
0.01	5	24	No WGD	MEDALT	0.358722062710725
0.01	5	24	No WGD	Euclidean Min. Ev.	0.470047680222583
0.01	5	24	No WGD	Euclidean NJ	0.308181620264318
0.01	5	24	No WGD	Hamming Min. Ev.	0.470047680222583
0.01	5	24	No WGD	Hamming NJ	0.308181620264318
0.01	5	24	No WGD	MEDICC2	0.308181620264318
0.01	10	0	High WGD	MEDALT	0.487130666893971
0.01	10	0	High WGD	Euclidean Min. Ev.	0.141165193391113
0.01	10	0	High WGD	Euclidean NJ	0.141165193391113
0.01	10	0	High WGD	Hamming Min. Ev.	0.141165193391113
0.01	10	0	High WGD	Hamming NJ	0.0
0.01	10	0	High WGD	MEDICC2	0.141165193391113
0.01	10	0	Low WGD	MEDALT	0.522671448478454
0.01	10	0	Low WGD	Euclidean Min. Ev.	0.141165193391113
0.01	10	0	Low WGD	Euclidean NJ	0.141165193391113
0.01	10	0	Low WGD	Hamming Min. Ev.	0.141165193391113
0.01	10	0	Low WGD	Hamming NJ	0.0
0.01	10	0	Low WGD	MEDICC2	0.141165193391113
0.01	10	0	No WGD	MEDALT	0.487130666893971
0.01	10	0	No WGD	Euclidean Min. Ev.	0.141165193391113
0.01	10	0	No WGD	Euclidean NJ	0.141165193391113
0.01	10	0	No WGD	Hamming Min. Ev.	0.141165193391113
0.01	10	0	No WGD	Hamming NJ	0.0
0.01	10	0	No WGD	MEDICC2	0.141165193391113
0.01	10	1	High WGD	MEDALT	0.366803165269103
0.01	10	1	High WGD	Euclidean Min. Ev.	0.0939472056558307
0.01	10	1	High WGD	Euclidean NJ	0.0
0.01	10	1	High WGD	Hamming Min. Ev.	0.0939472056558307
0.01	10	1	High WGD	Hamming NJ	0.0
0.01	10	1	High WGD	MEDICC2	0.0
0.01	10	1	Low WGD	MEDALT	0.366803165269103
0.01	10	1	Low WGD	Euclidean Min. Ev.	0.0939472056558307
0.01	10	1	Low WGD	Euclidean NJ	0.0
0.01	10	1	Low WGD	Hamming Min. Ev.	0.0939472056558307
0.01	10	1	Low WGD	Hamming NJ	0.0
0.01	10	1	Low WGD	MEDICC2	0.0
0.01	10	1	No WGD	MEDALT	0.366803165269103
0.01	10	1	No WGD	Euclidean Min. Ev.	0.0939472056558307
0.01	10	1	No WGD	Euclidean NJ	0.0
